[2020-03-20 08:25:34.349][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:34.660][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:35.046][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:35.431][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:35.734][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:36.105][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:36.416][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:36.796][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:37.188][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:37.510][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:37.816][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:38.180][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:38.501][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:38.838][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:39.239][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:39.637][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:40.029][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:40.343][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:40.672][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:41.057][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:41.416][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:41.791][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:42.100][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:42.428][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:42.750][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:43.069][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:43.392][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:43.800][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:44.182][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:44.512][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:44.920][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:45.296][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:45.667][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
[2020-03-20 08:25:45.992][ERR] Link_CreateLink, Start Failed, enumLinkType[0]
